# Mass = 1.4 Msun 
# R_sp = 12.03683363 km 
# M/R = 0.1717457529
# R/M = 5.822560285
#alpha #b/R #psi #dcosalpha/dcospsi #toa*C/R
1.129034903 1.115702113 1.441027235 0.6605526771 0.9156895276 
1.130205854 1.116319205 1.442643567 0.6605764501 0.9174921152 
1.131379721 1.116936297 1.444264423 0.6606004165 0.9193007343 
1.132556527 1.117553389 1.445889839 0.6606245785 0.9211154288 
1.133736295 1.118170481 1.447519855 0.6606489386 0.9229362469 
1.13491905 1.118787573 1.449154508 0.660673499 0.9247632379 
1.136104817 1.119404665 1.450793837 0.6606982621 0.9265964508 
1.137293619 1.120021756 1.452437882 0.6607232303 0.9284359352 
1.138485482 1.120638848 1.454086683 0.6607484061 0.9302817422 
1.139680432 1.12125594 1.455740282 0.660773792 0.9321339219 
1.140878495 1.121873032 1.457398718 0.6607993904 0.9339925262 
1.142079696 1.122490124 1.459062035 0.6608252041 0.9358576078 
1.143284062 1.123107216 1.460730274 0.6608512356 0.9377292208 
1.14449162 1.123724308 1.462403478 0.6608774876 0.9396074174 
1.145702398 1.1243414 1.464081692 0.6609039628 0.9414922533 
1.146916422 1.124958491 1.465764959 0.6609306639 0.9433837838 
1.148133722 1.125575583 1.467453324 0.6609575938 0.9452820659 
1.149354325 1.126192675 1.469146833 0.6609847554 0.9471871556 
1.150578261 1.126809767 1.470845532 0.6610121514 0.9490991111 
1.151805558 1.127426859 1.472549469 0.661039785 0.9510179911 
1.153036247 1.128043951 1.47425869 0.661067659 0.9529438559 
1.154270358 1.128661043 1.475973243 0.6610957766 0.9548767646 
1.155507921 1.129278135 1.477693179 0.6611241408 0.9568167792 
1.156748967 1.129895226 1.479418546 0.6611527549 0.958763962 
1.157993527 1.130512318 1.481149395 0.661181622 0.960718377 
1.159241635 1.13112941 1.482885778 0.6612107455 0.9626800863 
1.160493322 1.131746502 1.484627746 0.6612401287 0.964649156 
1.16174862 1.132363594 1.486375352 0.6612697749 0.966625652 
1.163007565 1.132980686 1.48812865 0.6612996877 0.9686096414 
