#nu mu I
2.238601e+15 6.146288e-03 7.526900e-01
2.238601e+15 1.228602e-02 7.538880e-01
2.238601e+15 1.842528e-02 7.549410e-01
2.238601e+15 2.456386e-02 7.559140e-01
2.238601e+15 3.070150e-02 7.568310e-01
2.238601e+15 3.684798e-02 7.577060e-01
2.238601e+15 4.298308e-02 7.585450e-01
2.238601e+15 4.911656e-02 7.593530e-01
2.238601e+15 5.524818e-02 7.601320e-01
2.238601e+15 6.137772e-02 7.608870e-01
2.238601e+15 6.751493e-02 7.616190e-01
2.238601e+15 7.363961e-02 7.623290e-01
2.238601e+15 7.976151e-02 7.630200e-01
2.238601e+15 8.588041e-02 7.636940e-01
2.238601e+15 9.199607e-02 7.643520e-01
2.238601e+15 9.810826e-02 7.649940e-01
2.238601e+15 1.042267e-01 7.656220e-01
2.238601e+15 1.103312e-01 7.662360e-01
2.238601e+15 1.164316e-01 7.668380e-01
2.238601e+15 1.225277e-01 7.674280e-01
2.238601e+15 1.286190e-01 7.680060e-01
2.238601e+15 1.347155e-01 7.685740e-01
2.238601e+15 1.407969e-01 7.691320e-01
2.238601e+15 1.468731e-01 7.696790e-01
2.238601e+15 1.529437e-01 7.702180e-01
2.238601e+15 1.590085e-01 7.707470e-01
2.238601e+15 1.650772e-01 7.712690e-01
2.238601e+15 1.711299e-01 7.717810e-01
2.238601e+15 1.771760e-01 7.722850e-01
2.238601e+15 1.832155e-01 7.727830e-01
2.238601e+15 1.892481e-01 7.732730e-01
2.238601e+15 1.952735e-01 7.737550e-01
2.238601e+15 2.013014e-01 7.742310e-01
2.238601e+15 2.073119e-01 7.746990e-01
2.238601e+15 2.133145e-01 7.751630e-01
2.238601e+15 2.193092e-01 7.756190e-01
2.238601e+15 2.252955e-01 7.760690e-01
2.238601e+15 2.312831e-01 7.765150e-01
2.238601e+15 2.372522e-01 7.769530e-01
2.238601e+15 2.432124e-01 7.773870e-01
2.238601e+15 2.491634e-01 7.778150e-01
2.238601e+15 2.551050e-01 7.782370e-01
2.238601e+15 2.610467e-01 7.786550e-01
2.238601e+15 2.669688e-01 7.790670e-01
2.238601e+15 2.728809e-01 7.794750e-01
2.238601e+15 2.787827e-01 7.798790e-01
2.238601e+15 2.846740e-01 7.802770e-01
2.238601e+15 2.905641e-01 7.806710e-01
2.238601e+15 2.964337e-01 7.810610e-01
2.238601e+15 3.022921e-01 7.814460e-01
2.238601e+15 3.081391e-01 7.818270e-01
2.238601e+15 3.139745e-01 7.822040e-01
2.238601e+15 3.198075e-01 7.825770e-01
2.238601e+15 3.256190e-01 7.829460e-01
2.238601e+15 3.314182e-01 7.833110e-01
2.238601e+15 3.372049e-01 7.836720e-01
2.238601e+15 3.429789e-01 7.840290e-01
2.238601e+15 3.487493e-01 7.843830e-01
2.238601e+15 3.544972e-01 7.847330e-01
2.238601e+15 3.602318e-01 7.850800e-01
2.238601e+15 3.659527e-01 7.854230e-01
2.238601e+15 3.716599e-01 7.857630e-01
2.238601e+15 3.773530e-01 7.860990e-01
2.238601e+15 3.830412e-01 7.864320e-01
2.238601e+15 3.887056e-01 7.867620e-01
2.238601e+15 3.943554e-01 7.870880e-01
2.238601e+15 3.999904e-01 7.874120e-01
2.238601e+15 4.056102e-01 7.877320e-01
2.238601e+15 4.112239e-01 7.880490e-01
2.238601e+15 4.168129e-01 7.883630e-01
2.238601e+15 4.223862e-01 7.886740e-01
2.238601e+15 4.279436e-01 7.889820e-01
2.238601e+15 4.334849e-01 7.892880e-01
2.238601e+15 4.390188e-01 7.895900e-01
2.238601e+15 4.445272e-01 7.898900e-01
2.238601e+15 4.500187e-01 7.901860e-01
2.238601e+15 4.554934e-01 7.904800e-01
2.238601e+15 4.609508e-01 7.907720e-01
2.238601e+15 4.663909e-01 7.910600e-01
2.238601e+15 4.718222e-01 7.913460e-01
2.238601e+15 4.772269e-01 7.916300e-01
2.238601e+15 4.826135e-01 7.919110e-01
2.238601e+15 4.879820e-01 7.921890e-01
2.238601e+15 4.933321e-01 7.924640e-01
2.238601e+15 4.986723e-01 7.927380e-01
2.238601e+15 5.039849e-01 7.930080e-01
2.238601e+15 5.092786e-01 7.932770e-01
2.238601e+15 5.145531e-01 7.935420e-01
2.238601e+15 5.198081e-01 7.938060e-01
2.238601e+15 5.250521e-01 7.940670e-01
2.238601e+15 5.302677e-01 7.943260e-01
2.238601e+15 5.354634e-01 7.945820e-01
2.238601e+15 5.406414e-01 7.948360e-01
2.238601e+15 5.457973e-01 7.950880e-01
2.238601e+15 5.509326e-01 7.953380e-01
2.238601e+15 5.560488e-01 7.955850e-01
2.238601e+15 5.611432e-01 7.958300e-01
2.238601e+15 5.662156e-01 7.960730e-01
2.238601e+15 5.712683e-01 7.963140e-01
2.238601e+15 5.762978e-01 7.965520e-01
2.238601e+15 5.813072e-01 7.967890e-01
2.238601e+15 5.862931e-01 7.970230e-01
2.238601e+15 5.912576e-01 7.972550e-01
2.238601e+15 5.961998e-01 7.974860e-01
2.238601e+15 6.011204e-01 7.977140e-01
2.238601e+15 6.060167e-01 7.979400e-01
2.238601e+15 6.108909e-01 7.981640e-01
2.238601e+15 6.157420e-01 7.983860e-01
2.238601e+15 6.205699e-01 7.986050e-01
2.238601e+15 6.253737e-01 7.988230e-01
2.238601e+15 6.301554e-01 7.990390e-01
2.238601e+15 6.349118e-01 7.992530e-01
2.238601e+15 6.396450e-01 7.994650e-01
2.238601e+15 6.443541e-01 7.996750e-01
2.238601e+15 6.490388e-01 7.998840e-01
2.238601e+15 6.536991e-01 8.000900e-01
2.238601e+15 6.583348e-01 8.002940e-01
2.238601e+15 6.629463e-01 8.004960e-01
2.238601e+15 6.675313e-01 8.006970e-01
2.238601e+15 6.720919e-01 8.008960e-01
2.238601e+15 6.766272e-01 8.010930e-01
2.238601e+15 6.811369e-01 8.012880e-01
2.238601e+15 6.856209e-01 8.014820e-01
2.238601e+15 6.900791e-01 8.016730e-01
2.238601e+15 6.945112e-01 8.018620e-01
2.238601e+15 6.989171e-01 8.020500e-01
2.238601e+15 7.032960e-01 8.022360e-01
2.238601e+15 7.076490e-01 8.024210e-01
2.238601e+15 7.119747e-01 8.026040e-01
2.238601e+15 7.162749e-01 8.027840e-01
2.238601e+15 7.205473e-01 8.029640e-01
2.238601e+15 7.247919e-01 8.031400e-01
2.238601e+15 7.290099e-01 8.033160e-01
2.238601e+15 7.332010e-01 8.034900e-01
2.238601e+15 7.373631e-01 8.036620e-01
2.238601e+15 7.414981e-01 8.038330e-01
2.238601e+15 7.456050e-01 8.040020e-01
2.238601e+15 7.496839e-01 8.041690e-01
2.238601e+15 7.537352e-01 8.043340e-01
2.238601e+15 7.577573e-01 8.044980e-01
2.238601e+15 7.617502e-01 8.046600e-01
2.238601e+15 7.657150e-01 8.048210e-01
2.238601e+15 7.696510e-01 8.049800e-01
2.238601e+15 7.735579e-01 8.051380e-01
2.238601e+15 7.774350e-01 8.052930e-01
2.238601e+15 7.812840e-01 8.054470e-01
2.238601e+15 7.851029e-01 8.056000e-01
2.238601e+15 7.888923e-01 8.057500e-01
2.238601e+15 7.926512e-01 8.059000e-01
2.238601e+15 7.963808e-01 8.060480e-01
2.238601e+15 8.000811e-01 8.061940e-01
2.238601e+15 8.037499e-01 8.063380e-01
2.238601e+15 8.073890e-01 8.064810e-01
2.238601e+15 8.109982e-01 8.066220e-01
2.238601e+15 8.145763e-01 8.067620e-01
2.238601e+15 8.181230e-01 8.069000e-01
2.238601e+15 8.216389e-01 8.070370e-01
2.238601e+15 8.251249e-01 8.071720e-01
2.238601e+15 8.285793e-01 8.073060e-01
2.238601e+15 8.320018e-01 8.074380e-01
2.238601e+15 8.353941e-01 8.075680e-01
2.238601e+15 8.387542e-01 8.076980e-01
2.238601e+15 8.420822e-01 8.078260e-01
2.238601e+15 8.453790e-01 8.079520e-01
2.238601e+15 8.486439e-01 8.080760e-01
2.238601e+15 8.518768e-01 8.081990e-01
2.238601e+15 8.550770e-01 8.083200e-01
2.238601e+15 8.582460e-01 8.084410e-01
2.238601e+15 8.613821e-01 8.085600e-01
2.238601e+15 8.644852e-01 8.086760e-01
2.238601e+15 8.675562e-01 8.087920e-01
2.238601e+15 8.705950e-01 8.089060e-01
2.238601e+15 8.735999e-01 8.090200e-01
2.238601e+15 8.765719e-01 8.091300e-01
2.238601e+15 8.795118e-01 8.092400e-01
2.238601e+15 8.824180e-01 8.093490e-01
2.238601e+15 8.852910e-01 8.094560e-01
2.238601e+15 8.881301e-01 8.095620e-01
2.238601e+15 8.909361e-01 8.096660e-01
2.238601e+15 8.937090e-01 8.097680e-01
2.238601e+15 8.964468e-01 8.098700e-01
2.238601e+15 8.991522e-01 8.099690e-01
2.238601e+15 9.018231e-01 8.100680e-01
2.238601e+15 9.044601e-01 8.101640e-01
2.238601e+15 9.070630e-01 8.102600e-01
2.238601e+15 9.096320e-01 8.103540e-01
2.238601e+15 9.121659e-01 8.104470e-01
2.238601e+15 9.146662e-01 8.105380e-01
2.238601e+15 9.171312e-01 8.106280e-01
2.238601e+15 9.195620e-01 8.107160e-01
2.238601e+15 9.219581e-01 8.108040e-01
2.238601e+15 9.243190e-01 8.108900e-01
2.238601e+15 9.266459e-01 8.109740e-01
2.238601e+15 9.289370e-01 8.110560e-01
2.238601e+15 9.311938e-01 8.111380e-01
