#nu mu I
2.071001e+15 9.266459e-01 6.697240e-01
2.071001e+15 9.289370e-01 6.697940e-01
2.071001e+15 9.311938e-01 6.698640e-01
2.071001e+15 9.334152e-01 6.699320e-01
2.071001e+15 9.356009e-01 6.699990e-01
2.071001e+15 9.377521e-01 6.700640e-01
2.071001e+15 9.398669e-01 6.701300e-01
2.071001e+15 9.419469e-01 6.701920e-01
2.071001e+15 9.439920e-01 6.702540e-01
2.071001e+15 9.459999e-01 6.703160e-01
2.071001e+15 9.479731e-01 6.703760e-01
2.071001e+15 9.499111e-01 6.704340e-01
2.071001e+15 9.518121e-01 6.704920e-01
2.071001e+15 9.536780e-01 6.705480e-01
2.071001e+15 9.555080e-01 6.706040e-01
2.071001e+15 9.573011e-01 6.706580e-01
2.071001e+15 9.590589e-01 6.707100e-01
2.071001e+15 9.607800e-01 6.707620e-01
2.071001e+15 9.624651e-01 6.708140e-01
2.071001e+15 9.641139e-01 6.708620e-01
2.071001e+15 9.657261e-01 6.709120e-01
2.071001e+15 9.673021e-01 6.709580e-01
2.071001e+15 9.688421e-01 6.710040e-01
2.071001e+15 9.703451e-01 6.710500e-01
2.071001e+15 9.718110e-01 6.710940e-01
2.071001e+15 9.732409e-01 6.711360e-01
2.071001e+15 9.746339e-01 6.711780e-01
2.071001e+15 9.759899e-01 6.712180e-01
2.071001e+15 9.773091e-01 6.712580e-01
2.071001e+15 9.785920e-01 6.712960e-01
2.071001e+15 9.798371e-01 6.713320e-01
2.071001e+15 9.810459e-01 6.713680e-01
2.071001e+15 9.822180e-01 6.714040e-01
2.071001e+15 9.833520e-01 6.714380e-01
2.071001e+15 9.844500e-01 6.714700e-01
2.071001e+15 9.855101e-01 6.715020e-01
2.071001e+15 9.865329e-01 6.715320e-01
2.071001e+15 9.875191e-01 6.715600e-01
2.071001e+15 9.884680e-01 6.715880e-01
2.071001e+15 9.893790e-01 6.716160e-01
2.071001e+15 9.902529e-01 6.716420e-01
2.071001e+15 9.910900e-01 6.716660e-01
2.071001e+15 9.918890e-01 6.716900e-01
2.071001e+15 9.926510e-01 6.717120e-01
2.071001e+15 9.933761e-01 6.717340e-01
2.071001e+15 9.940630e-01 6.717540e-01
2.071001e+15 9.947120e-01 6.717740e-01
2.071001e+15 9.953240e-01 6.717920e-01
2.071001e+15 9.958990e-01 6.718080e-01
2.071001e+15 9.964360e-01 6.718240e-01
2.071001e+15 9.969350e-01 6.718380e-01
2.071001e+15 9.973970e-01 6.718520e-01
2.071001e+15 9.978210e-01 6.718640e-01
2.071001e+15 9.982070e-01 6.718760e-01
2.071001e+15 9.985560e-01 6.718860e-01
2.071001e+15 9.988670e-01 6.718960e-01
2.071001e+15 9.991400e-01 6.719040e-01
2.071001e+15 9.993760e-01 6.719100e-01
2.071001e+15 9.995740e-01 6.719160e-01
2.071001e+15 9.997340e-01 6.719210e-01
2.071001e+15 9.998570e-01 6.719240e-01
2.071001e+15 9.999420e-01 6.719280e-01
2.071001e+15 9.999890e-01 6.719280e-01


2.238601e+15 1.000000e-06 6.704790e-01
2.238601e+15 6.146288e-03 7.201380e-01
2.238601e+15 1.228602e-02 7.214940e-01
2.238601e+15 1.842528e-02 7.226570e-01
2.238601e+15 2.456386e-02 7.237300e-01
2.238601e+15 3.070150e-02 7.247380e-01
2.238601e+15 3.684798e-02 7.256940e-01
2.238601e+15 4.298308e-02 7.266070e-01
2.238601e+15 4.911656e-02 7.274810e-01
2.238601e+15 5.524818e-02 7.283210e-01
2.238601e+15 6.137772e-02 7.291330e-01
2.238601e+15 6.751493e-02 7.299190e-01
2.238601e+15 7.363961e-02 7.306810e-01
2.238601e+15 7.976151e-02 7.314210e-01
2.238601e+15 8.588041e-02 7.321420e-01
2.238601e+15 9.199607e-02 7.328450e-01
2.238601e+15 9.810826e-02 7.335310e-01
2.238601e+15 1.042267e-01 7.342010e-01
2.238601e+15 1.103312e-01 7.348580e-01
2.238601e+15 1.164316e-01 7.355000e-01
2.238601e+15 1.225277e-01 7.361300e-01
2.238601e+15 1.286190e-01 7.367480e-01
2.238601e+15 1.347155e-01 7.373540e-01
2.238601e+15 1.407969e-01 7.379500e-01
2.238601e+15 1.468731e-01 7.385350e-01
2.238601e+15 1.529437e-01 7.391100e-01
2.238601e+15 1.590085e-01 7.396760e-01
2.238601e+15 1.650772e-01 7.402320e-01
2.238601e+15 1.711299e-01 7.407800e-01
2.238601e+15 1.771760e-01 7.413200e-01
2.238601e+15 1.832155e-01 7.418520e-01
2.238601e+15 1.892481e-01 7.423760e-01
2.238601e+15 1.952735e-01 7.428920e-01
2.238601e+15 2.013014e-01 7.434010e-01
2.238601e+15 2.073119e-01 7.439030e-01
2.238601e+15 2.133145e-01 7.443980e-01
2.238601e+15 2.193092e-01 7.448880e-01
2.238601e+15 2.252955e-01 7.453700e-01
2.238601e+15 2.312831e-01 7.458460e-01
2.238601e+15 2.372522e-01 7.463160e-01
2.238601e+15 2.432124e-01 7.467800e-01
2.238601e+15 2.491634e-01 7.472380e-01
2.238601e+15 2.551050e-01 7.476920e-01
2.238601e+15 2.610467e-01 7.481400e-01
2.238601e+15 2.669688e-01 7.485820e-01
2.238601e+15 2.728809e-01 7.490180e-01
2.238601e+15 2.787827e-01 7.494500e-01
2.238601e+15 2.846740e-01 7.498780e-01
2.238601e+15 2.905641e-01 7.503000e-01
2.238601e+15 2.964337e-01 7.507180e-01
2.238601e+15 3.022921e-01 7.511300e-01
2.238601e+15 3.081391e-01 7.515400e-01
2.238601e+15 3.139745e-01 7.519440e-01
2.238601e+15 3.198075e-01 7.523430e-01
2.238601e+15 3.256190e-01 7.527380e-01
2.238601e+15 3.314182e-01 7.531300e-01
2.238601e+15 3.372049e-01 7.535170e-01
2.238601e+15 3.429789e-01 7.539000e-01
2.238601e+15 3.487493e-01 7.542800e-01
2.238601e+15 3.544972e-01 7.546540e-01
2.238601e+15 3.602318e-01 7.550260e-01
2.238601e+15 3.659527e-01 7.553940e-01
2.238601e+15 3.716599e-01 7.557580e-01
2.238601e+15 3.773530e-01 7.561180e-01
2.238601e+15 3.830412e-01 7.564760e-01
2.238601e+15 3.887056e-01 7.568290e-01
2.238601e+15 3.943554e-01 7.571790e-01
2.238601e+15 3.999904e-01 7.575260e-01
2.238601e+15 4.056102e-01 7.578680e-01
2.238601e+15 4.112239e-01 7.582080e-01
2.238601e+15 4.168129e-01 7.585460e-01
2.238601e+15 4.223862e-01 7.588780e-01
2.238601e+15 4.279436e-01 7.592080e-01
2.238601e+15 4.334849e-01 7.595360e-01
2.238601e+15 4.390188e-01 7.598600e-01
2.238601e+15 4.445272e-01 7.601810e-01
2.238601e+15 4.500187e-01 7.604990e-01
2.238601e+15 4.554934e-01 7.608140e-01
2.238601e+15 4.609508e-01 7.611260e-01
2.238601e+15 4.663909e-01 7.614360e-01
2.238601e+15 4.718222e-01 7.617420e-01
2.238601e+15 4.772269e-01 7.620460e-01
2.238601e+15 4.826135e-01 7.623460e-01
2.238601e+15 4.879820e-01 7.626440e-01
2.238601e+15 4.933321e-01 7.629400e-01
2.238601e+15 4.986723e-01 7.632320e-01
2.238601e+15 5.039849e-01 7.635220e-01
2.238601e+15 5.092786e-01 7.638090e-01
2.238601e+15 5.145531e-01 7.640940e-01
2.238601e+15 5.198081e-01 7.643760e-01
2.238601e+15 5.250521e-01 7.646560e-01
2.238601e+15 5.302677e-01 7.649320e-01
2.238601e+15 5.354634e-01 7.652060e-01
2.238601e+15 5.406414e-01 7.654780e-01
2.238601e+15 5.457973e-01 7.657480e-01
2.238601e+15 5.509326e-01 7.660160e-01
2.238601e+15 5.560488e-01 7.662800e-01
2.238601e+15 5.611432e-01 7.665420e-01
2.238601e+15 5.662156e-01 7.668020e-01
2.238601e+15 5.712683e-01 7.670600e-01
2.238601e+15 5.762978e-01 7.673160e-01
2.238601e+15 5.813072e-01 7.675680e-01
2.238601e+15 5.862931e-01 7.678180e-01
2.238601e+15 5.912576e-01 7.680680e-01
2.238601e+15 5.961998e-01 7.683140e-01
2.238601e+15 6.011204e-01 7.685580e-01
2.238601e+15 6.060167e-01 7.688000e-01
2.238601e+15 6.108909e-01 7.690380e-01
2.238601e+15 6.157420e-01 7.692760e-01
2.238601e+15 6.205699e-01 7.695120e-01
2.238601e+15 6.253737e-01 7.697440e-01
2.238601e+15 6.301554e-01 7.699760e-01
2.238601e+15 6.349118e-01 7.702040e-01
2.238601e+15 6.396450e-01 7.704300e-01
2.238601e+15 6.443541e-01 7.706560e-01
2.238601e+15 6.490388e-01 7.708780e-01
2.238601e+15 6.536991e-01 7.710980e-01
2.238601e+15 6.583348e-01 7.713180e-01
2.238601e+15 6.629463e-01 7.715340e-01
2.238601e+15 6.675313e-01 7.717480e-01
2.238601e+15 6.720919e-01 7.719600e-01
2.238601e+15 6.766272e-01 7.721720e-01
2.238601e+15 6.811369e-01 7.723800e-01
2.238601e+15 6.856209e-01 7.725860e-01
2.238601e+15 6.900791e-01 7.727910e-01
2.238601e+15 6.945112e-01 7.729940e-01
2.238601e+15 6.989171e-01 7.731940e-01
2.238601e+15 7.032960e-01 7.733940e-01
2.238601e+15 7.076490e-01 7.735900e-01
2.238601e+15 7.119747e-01 7.737860e-01
2.238601e+15 7.162749e-01 7.739780e-01
2.238601e+15 7.205473e-01 7.741700e-01
2.238601e+15 7.247919e-01 7.743600e-01
2.238601e+15 7.290099e-01 7.745470e-01
2.238601e+15 7.332010e-01 7.747320e-01
2.238601e+15 7.373631e-01 7.749160e-01
2.238601e+15 7.414981e-01 7.750980e-01
2.238601e+15 7.456050e-01 7.752800e-01
2.238601e+15 7.496839e-01 7.754580e-01
2.238601e+15 7.537352e-01 7.756340e-01
2.238601e+15 7.577573e-01 7.758100e-01
2.238601e+15 7.617502e-01 7.759820e-01
2.238601e+15 7.657150e-01 7.761540e-01
2.238601e+15 7.696510e-01 7.763240e-01
2.238601e+15 7.735579e-01 7.764920e-01
2.238601e+15 7.774350e-01 7.766580e-01
2.238601e+15 7.812840e-01 7.768220e-01
2.238601e+15 7.851029e-01 7.769860e-01
2.238601e+15 7.888923e-01 7.771460e-01
2.238601e+15 7.926512e-01 7.773060e-01
2.238601e+15 7.963808e-01 7.774640e-01
2.238601e+15 8.000811e-01 7.776200e-01
2.238601e+15 8.037499e-01 7.777740e-01
2.238601e+15 8.073890e-01 7.779260e-01
2.238601e+15 8.109982e-01 7.780760e-01
2.238601e+15 8.145763e-01 7.782260e-01
2.238601e+15 8.181230e-01 7.783740e-01
2.238601e+15 8.216389e-01 7.785200e-01
2.238601e+15 8.251249e-01 7.786640e-01
2.238601e+15 8.285793e-01 7.788060e-01
2.238601e+15 8.320018e-01 7.789480e-01
2.238601e+15 8.353941e-01 7.790860e-01
2.238601e+15 8.387542e-01 7.792240e-01
2.238601e+15 8.420822e-01 7.793600e-01
2.238601e+15 8.453790e-01 7.794960e-01
2.238601e+15 8.486439e-01 7.796280e-01
2.238601e+15 8.518768e-01 7.797600e-01
2.238601e+15 8.550770e-01 7.798900e-01
2.238601e+15 8.582460e-01 7.800180e-01
2.238601e+15 8.613821e-01 7.801440e-01
2.238601e+15 8.644852e-01 7.802690e-01
2.238601e+15 8.675562e-01 7.803920e-01
2.238601e+15 8.705950e-01 7.805140e-01
2.238601e+15 8.735999e-01 7.806340e-01
2.238601e+15 8.765719e-01 7.807540e-01
2.238601e+15 8.795118e-01 7.808700e-01
2.238601e+15 8.824180e-01 7.809860e-01
2.238601e+15 8.852910e-01 7.811000e-01
2.238601e+15 8.881301e-01 7.812120e-01
2.238601e+15 8.909361e-01 7.813240e-01
2.238601e+15 8.937090e-01 7.814330e-01
2.238601e+15 8.964468e-01 7.815400e-01
2.238601e+15 8.991522e-01 7.816480e-01
2.238601e+15 9.018231e-01 7.817520e-01
2.238601e+15 9.044601e-01 7.818560e-01
2.238601e+15 9.070630e-01 7.819580e-01
2.238601e+15 9.096320e-01 7.820580e-01
2.238601e+15 9.121659e-01 7.821560e-01
2.238601e+15 9.146662e-01 7.822540e-01
2.238601e+15 9.171312e-01 7.823500e-01
2.238601e+15 9.195620e-01 7.824440e-01
2.238601e+15 9.219581e-01 7.825360e-01
2.238601e+15 9.243190e-01 7.826280e-01
2.238601e+15 9.266459e-01 7.827180e-01
2.238601e+15 9.289370e-01 7.828060e-01
2.238601e+15 9.311938e-01 7.828940e-01
2.238601e+15 9.334152e-01 7.829780e-01
2.238601e+15 9.356009e-01 7.830620e-01
2.238601e+15 9.377521e-01 7.831460e-01
2.238601e+15 9.398669e-01 7.832260e-01
2.238601e+15 9.419469e-01 7.833060e-01
2.238601e+15 9.439920e-01 7.833840e-01
2.238601e+15 9.459999e-01 7.834600e-01
2.238601e+15 9.479731e-01 7.835360e-01
2.238601e+15 9.499111e-01 7.836100e-01
2.238601e+15 9.518121e-01 7.836820e-01
2.238601e+15 9.536780e-01 7.837520e-01
2.238601e+15 9.555080e-01 7.838220e-01
2.238601e+15 9.573011e-01 7.838900e-01
2.238601e+15 9.590589e-01 7.839560e-01
2.238601e+15 9.607800e-01 7.840220e-01
2.238601e+15 9.624651e-01 7.840860e-01
2.238601e+15 9.641139e-01 7.841480e-01
2.238601e+15 9.657261e-01 7.842080e-01
2.238601e+15 9.673021e-01 7.842680e-01
