#nu mu I
1.168900e+15 9.096320e-01 1.404831e-01
1.168900e+15 9.121659e-01 1.404959e-01
1.168900e+15 9.146662e-01 1.405085e-01
1.168900e+15 9.171312e-01 1.405209e-01
1.168900e+15 9.195620e-01 1.405331e-01
1.168900e+15 9.219581e-01 1.405451e-01
1.168900e+15 9.243190e-01 1.405570e-01
1.168900e+15 9.266459e-01 1.405687e-01
1.168900e+15 9.289370e-01 1.405801e-01
1.168900e+15 9.311938e-01 1.405913e-01
1.168900e+15 9.334152e-01 1.406025e-01
1.168900e+15 9.356009e-01 1.406133e-01
1.168900e+15 9.377521e-01 1.406241e-01
1.168900e+15 9.398669e-01 1.406347e-01
1.168900e+15 9.419469e-01 1.406449e-01
1.168900e+15 9.439920e-01 1.406551e-01
1.168900e+15 9.459999e-01 1.406651e-01
1.168900e+15 9.479731e-01 1.406749e-01
1.168900e+15 9.499111e-01 1.406845e-01
1.168900e+15 9.518121e-01 1.406939e-01
1.168900e+15 9.536780e-01 1.407031e-01
1.168900e+15 9.555080e-01 1.407121e-01
1.168900e+15 9.573011e-01 1.407210e-01
1.168900e+15 9.590589e-01 1.407297e-01
1.168900e+15 9.607800e-01 1.407381e-01
1.168900e+15 9.624651e-01 1.407465e-01
1.168900e+15 9.641139e-01 1.407546e-01
1.168900e+15 9.657261e-01 1.407625e-01
1.168900e+15 9.673021e-01 1.407703e-01
1.168900e+15 9.688421e-01 1.407779e-01
1.168900e+15 9.703451e-01 1.407852e-01
1.168900e+15 9.718110e-01 1.407924e-01
1.168900e+15 9.732409e-01 1.407995e-01
1.168900e+15 9.746339e-01 1.408063e-01
1.168900e+15 9.759899e-01 1.408129e-01
1.168900e+15 9.773091e-01 1.408193e-01
1.168900e+15 9.785920e-01 1.408256e-01
1.168900e+15 9.798371e-01 1.408317e-01
1.168900e+15 9.810459e-01 1.408376e-01
1.168900e+15 9.822180e-01 1.408433e-01
1.168900e+15 9.833520e-01 1.408489e-01
1.168900e+15 9.844500e-01 1.408543e-01
1.168900e+15 9.855101e-01 1.408594e-01
1.168900e+15 9.865329e-01 1.408643e-01
1.168900e+15 9.875191e-01 1.408691e-01
1.168900e+15 9.884680e-01 1.408738e-01
1.168900e+15 9.893790e-01 1.408783e-01
1.168900e+15 9.902529e-01 1.408825e-01
1.168900e+15 9.910900e-01 1.408865e-01
1.168900e+15 9.918890e-01 1.408905e-01
1.168900e+15 9.926510e-01 1.408941e-01
1.168900e+15 9.933761e-01 1.408977e-01
1.168900e+15 9.940630e-01 1.409010e-01
1.168900e+15 9.947120e-01 1.409041e-01
1.168900e+15 9.953240e-01 1.409071e-01
1.168900e+15 9.958990e-01 1.409099e-01
1.168900e+15 9.964360e-01 1.409125e-01
1.168900e+15 9.969350e-01 1.409149e-01
1.168900e+15 9.973970e-01 1.409172e-01
1.168900e+15 9.978210e-01 1.409193e-01
1.168900e+15 9.982070e-01 1.409211e-01
1.168900e+15 9.985560e-01 1.409228e-01
1.168900e+15 9.988670e-01 1.409243e-01
1.168900e+15 9.991400e-01 1.409257e-01
1.168900e+15 9.993760e-01 1.409267e-01
1.168900e+15 9.995740e-01 1.409277e-01
1.168900e+15 9.997340e-01 1.409285e-01
1.168900e+15 9.998570e-01 1.409291e-01
1.168900e+15 9.999420e-01 1.409295e-01
1.168900e+15 9.999890e-01 1.409297e-01


1.263501e+15 1.000000e-06 1.429603e-01
1.263501e+15 6.146288e-03 1.618682e-01
1.263501e+15 1.228602e-02 1.599293e-01
1.263501e+15 1.842528e-02 1.590814e-01
1.263501e+15 2.456386e-02 1.585963e-01
1.263501e+15 3.070150e-02 1.582796e-01
1.263501e+15 3.684798e-02 1.580589e-01
1.263501e+15 4.298308e-02 1.579002e-01
1.263501e+15 4.911656e-02 1.577853e-01
1.263501e+15 5.524818e-02 1.577031e-01
1.263501e+15 6.137772e-02 1.576460e-01
1.263501e+15 6.751493e-02 1.576088e-01
1.263501e+15 7.363961e-02 1.575876e-01
1.263501e+15 7.976151e-02 1.575793e-01
1.263501e+15 8.588041e-02 1.575818e-01
1.263501e+15 9.199607e-02 1.575931e-01
1.263501e+15 9.810826e-02 1.576119e-01
1.263501e+15 1.042267e-01 1.576368e-01
1.263501e+15 1.103312e-01 1.576668e-01
1.263501e+15 1.164316e-01 1.577013e-01
1.263501e+15 1.225277e-01 1.577395e-01
1.263501e+15 1.286190e-01 1.577809e-01
1.263501e+15 1.347155e-01 1.578248e-01
1.263501e+15 1.407969e-01 1.578710e-01
1.263501e+15 1.468731e-01 1.579192e-01
1.263501e+15 1.529437e-01 1.579690e-01
1.263501e+15 1.590085e-01 1.580201e-01
1.263501e+15 1.650772e-01 1.580725e-01
1.263501e+15 1.711299e-01 1.581257e-01
1.263501e+15 1.771760e-01 1.581797e-01
1.263501e+15 1.832155e-01 1.582345e-01
1.263501e+15 1.892481e-01 1.582897e-01
1.263501e+15 1.952735e-01 1.583454e-01
1.263501e+15 2.013014e-01 1.584014e-01
1.263501e+15 2.073119e-01 1.584578e-01
1.263501e+15 2.133145e-01 1.585142e-01
1.263501e+15 2.193092e-01 1.585708e-01
1.263501e+15 2.252955e-01 1.586274e-01
1.263501e+15 2.312831e-01 1.586841e-01
1.263501e+15 2.372522e-01 1.587408e-01
1.263501e+15 2.432124e-01 1.587974e-01
1.263501e+15 2.491634e-01 1.588539e-01
1.263501e+15 2.551050e-01 1.589103e-01
1.263501e+15 2.610467e-01 1.589665e-01
1.263501e+15 2.669688e-01 1.590225e-01
1.263501e+15 2.728809e-01 1.590785e-01
1.263501e+15 2.787827e-01 1.591341e-01
1.263501e+15 2.846740e-01 1.591895e-01
1.263501e+15 2.905641e-01 1.592448e-01
1.263501e+15 2.964337e-01 1.592997e-01
1.263501e+15 3.022921e-01 1.593545e-01
1.263501e+15 3.081391e-01 1.594089e-01
1.263501e+15 3.139745e-01 1.594631e-01
1.263501e+15 3.198075e-01 1.595170e-01
1.263501e+15 3.256190e-01 1.595706e-01
1.263501e+15 3.314182e-01 1.596239e-01
1.263501e+15 3.372049e-01 1.596769e-01
1.263501e+15 3.429789e-01 1.597296e-01
1.263501e+15 3.487493e-01 1.597820e-01
1.263501e+15 3.544972e-01 1.598341e-01
1.263501e+15 3.602318e-01 1.598859e-01
1.263501e+15 3.659527e-01 1.599374e-01
1.263501e+15 3.716599e-01 1.599886e-01
1.263501e+15 3.773530e-01 1.600394e-01
1.263501e+15 3.830412e-01 1.600900e-01
1.263501e+15 3.887056e-01 1.601402e-01
1.263501e+15 3.943554e-01 1.601900e-01
1.263501e+15 3.999904e-01 1.602396e-01
1.263501e+15 4.056102e-01 1.602888e-01
1.263501e+15 4.112239e-01 1.603378e-01
1.263501e+15 4.168129e-01 1.603864e-01
1.263501e+15 4.223862e-01 1.604348e-01
1.263501e+15 4.279436e-01 1.604828e-01
1.263501e+15 4.334849e-01 1.605304e-01
1.263501e+15 4.390188e-01 1.605778e-01
1.263501e+15 4.445272e-01 1.606248e-01
1.263501e+15 4.500187e-01 1.606716e-01
1.263501e+15 4.554934e-01 1.607180e-01
1.263501e+15 4.609508e-01 1.607640e-01
1.263501e+15 4.663909e-01 1.608098e-01
1.263501e+15 4.718222e-01 1.608553e-01
1.263501e+15 4.772269e-01 1.609004e-01
1.263501e+15 4.826135e-01 1.609453e-01
1.263501e+15 4.879820e-01 1.609898e-01
1.263501e+15 4.933321e-01 1.610340e-01
1.263501e+15 4.986723e-01 1.610780e-01
1.263501e+15 5.039849e-01 1.611216e-01
1.263501e+15 5.092786e-01 1.611649e-01
1.263501e+15 5.145531e-01 1.612079e-01
1.263501e+15 5.198081e-01 1.612506e-01
1.263501e+15 5.250521e-01 1.612930e-01
1.263501e+15 5.302677e-01 1.613351e-01
1.263501e+15 5.354634e-01 1.613769e-01
1.263501e+15 5.406414e-01 1.614184e-01
1.263501e+15 5.457973e-01 1.614596e-01
1.263501e+15 5.509326e-01 1.615005e-01
1.263501e+15 5.560488e-01 1.615411e-01
1.263501e+15 5.611432e-01 1.615814e-01
1.263501e+15 5.662156e-01 1.616215e-01
1.263501e+15 5.712683e-01 1.616612e-01
1.263501e+15 5.762978e-01 1.617006e-01
1.263501e+15 5.813072e-01 1.617397e-01
1.263501e+15 5.862931e-01 1.617786e-01
1.263501e+15 5.912576e-01 1.618171e-01
1.263501e+15 5.961998e-01 1.618554e-01
1.263501e+15 6.011204e-01 1.618933e-01
1.263501e+15 6.060167e-01 1.619310e-01
1.263501e+15 6.108909e-01 1.619684e-01
1.263501e+15 6.157420e-01 1.620055e-01
1.263501e+15 6.205699e-01 1.620424e-01
1.263501e+15 6.253737e-01 1.620789e-01
1.263501e+15 6.301554e-01 1.621151e-01
1.263501e+15 6.349118e-01 1.621511e-01
1.263501e+15 6.396450e-01 1.621868e-01
